Date,Team_home,FGA_home,FGM_home,FG%_home,3PA_home,3PM_home,3P%_home,FTA_home,FTM_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TO_home,STL_home,BLK_home,PF_home,Points_home,Team_away,FGA_away,FGM_away,FG%_away,3PA_away,3PM_away,3P%_away,FTA_away,FTM_away,FT%_away,OREB_away,DREB_away,REB_away,AST_away,TO_away,STL_away,BLK_away,PF_away,Points_away,Point_diff
2024-11-11,SAS,85,43,0.5058823529411764,46,22,0.4782608695652174,8,8,1.0,8,36,44,31,5,5,16,10,116,SAC,91,39,0.42857142857142855,38,10,0.2631578947368421,9,8,0.8888888888888888,9,28,37,18,11,4,11,14,96,20
2024-11-11,OKC,91,47,0.5164835164835165,46,18,0.391304347826087,23,22,0.9565217391304348,9,20,29,31,16,5,11,23,134,LAC,80,44,0.55,37,20,0.5405405405405406,29,20,0.6896551724137931,15,32,47,31,5,5,23,22,128,6
2024-11-11,NOP,94,42,0.44680851063829785,30,10,0.3333333333333333,12,11,0.9166666666666666,14,31,45,31,13,4,10,15,105,BKN,84,36,0.42857142857142855,42,19,0.4523809523809524,19,16,0.8421052631578947,14,32,46,24,4,5,16,14,107,-2
2024-11-11,HOU,87,40,0.45977011494252873,23,5,0.21739130434782608,25,22,0.88,17,41,58,13,12,10,19,17,107,WAS,88,36,0.4090909090909091,31,11,0.3548387096774194,13,9,0.6923076923076923,8,26,34,21,14,5,18,17,92,15
2024-11-11,CHI,87,43,0.4942528735632184,38,14,0.3684210526315789,16,13,0.8125,8,43,51,26,7,5,20,17,113,CLE,97,43,0.44329896907216493,45,15,0.3333333333333333,24,18,0.75,12,31,43,26,14,3,8,13,119,-6
2024-11-10,POR,100,34,0.34,42,4,0.09523809523809523,21,17,0.8095238095238095,16,27,43,18,9,3,23,21,89,MEM,85,47,0.5529411764705883,43,16,0.37209302325581395,28,24,0.8571428571428571,10,41,51,32,15,13,20,17,134,-45
2024-11-10,PHX,105,44,0.41904761904761906,57,18,0.3157894736842105,15,12,0.8,8,40,48,30,11,3,11,19,118,SAC,102,50,0.49019607843137253,37,11,0.2972972972972973,19,16,0.8421052631578947,8,49,57,23,7,3,14,20,127,-9
2024-11-10,PHI,84,39,0.4642857142857143,33,9,0.2727272727272727,26,20,0.7692307692307693,8,32,40,24,8,1,17,23,107,CHA,95,36,0.37894736842105264,54,14,0.25925925925925924,22,19,0.8636363636363636,12,38,50,22,10,5,19,22,105,2
2024-11-10,ORL,91,41,0.45054945054945056,48,17,0.3541666666666667,25,22,0.88,15,29,44,25,6,5,11,21,121,WAS,72,33,0.4583333333333333,33,10,0.30303030303030304,25,18,0.72,7,30,37,20,4,7,16,25,94,27
2024-11-10,OKC,94,42,0.44680851063829785,33,11,0.3333333333333333,26,21,0.8076923076923077,14,27,41,25,4,6,11,18,116,GSW,89,45,0.5056179775280899,43,21,0.4883720930232558,23,16,0.6956521739130435,13,33,46,35,8,3,14,26,127,-11
