Team,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,Season
CLE,13,13,0,624.0,120.9,109.9,11.0,62.0,2.18,20.2,25.0,71.6,49.5,12.8,60.6,62.9,100.42,56.2,"1,309",2024-25
BOS,13,10,3,634.0,121.0,110.0,11.0,60.4,2.05,18.1,28.0,71.4,49.6,12.2,56.5,60.3,98.76,54.2,"1,303",2024-25
OKC,12,10,2,576.0,114.3,101.9,12.4,59.2,2.15,18.2,24.8,66.4,46.0,11.6,54.1,57.4,101.83,55.5,"1,222",2024-25
GSW,11,9,2,533.0,118.9,108.0,10.9,68.0,2.16,20.3,32.4,68.9,51.0,13.6,56.5,58.9,100.95,55.5,"1,121",2024-25
PHX,12,9,3,586.0,113.6,113.3,0.3,65.8,2.01,19.0,25.1,73.1,49.5,13.1,55.2,58.8,98.87,51.1,"1,208",2024-25
HOU,12,8,4,581.0,112.5,107.1,5.4,51.8,1.62,15.2,36.5,71.0,53.0,13.3,49.6,53.2,98.23,51.4,"1,188",2024-25
DEN,10,7,3,490.0,116.9,114.2,2.7,71.4,2.15,20.4,32.9,70.8,52.1,13.8,54.7,58.8,101.24,52.4,"1,034",2024-25
LAL,11,7,4,528.0,117.3,117.5,-0.1,65.9,2.13,19.5,27.8,69.2,49.0,12.9,55.1,59.5,100.14,51.3,"1,103",2024-25
MEM,12,7,5,576.0,116.8,109.5,7.3,67.9,1.77,20.1,34.8,69.9,53.1,16.5,56.0,59.6,103.42,56.1,"1,244",2024-25
ORL,13,7,6,624.0,108.5,104.3,4.2,65.0,1.68,18.0,28.2,75.7,51.2,14.9,50.9,55.0,99.23,52.0,"1,287",2024-25
SAC,12,7,5,586.0,115.3,111.1,4.1,57.8,1.83,18.1,26.7,71.8,50.4,13.5,55.2,59.3,99.44,52.9,"1,213",2024-25
LAC,12,6,6,581.0,111.3,110.0,1.3,64.6,1.48,18.5,30.8,73.3,52.1,17.6,54.3,57.6,97.94,50.1,"1,182",2024-25
MIN,12,6,6,576.0,113.0,110.2,2.9,62.7,1.50,18.3,28.3,70.4,49.7,17.0,56.3,59.5,99.17,50.6,"1,189",2024-25
SAS,12,6,6,576.0,110.9,110.9,0.0,68.7,1.68,19.7,29.1,71.7,51.4,16.5,54.8,58.3,98.71,53.0,"1,188",2024-25
ATL,12,5,7,576.0,112.1,117.5,-5.4,67.8,1.82,19.3,31.8,69.3,50.2,15.1,53.7,57.3,103.33,49.2,"1,243",2024-25
BKN,12,5,7,586.0,113.1,115.7,-2.6,65.1,1.72,18.8,27.8,69.8,48.5,15.3,54.9,58.4,96.70,46.4,"1,179",2024-25
CHI,12,5,7,576.0,110.0,114.8,-4.8,68.0,1.71,19.4,25.2,74.0,49.8,15.8,55.0,58.1,104.92,47.6,"1,259",2024-25
DAL,11,5,6,528.0,114.1,110.9,3.2,59.7,2.09,18.5,25.9,69.5,48.1,12.2,54.7,57.7,100.18,50.8,"1,103",2024-25
DET,13,5,8,634.0,110.2,112.2,-2.0,61.4,1.45,17.9,31.4,73.3,52.6,17.4,53.5,56.7,97.89,47.8,"1,290",2024-25
IND,11,5,6,538.0,111.9,115.4,-3.5,65.7,1.92,19.7,25.1,68.6,47.5,14.2,55.5,58.7,99.48,49.8,"1,119",2024-25
NYK,11,5,6,528.0,118.6,114.4,4.2,61.3,2.05,19.4,28.5,72.9,50.9,13.3,56.8,59.9,97.09,51.7,"1,066",2024-25
POR,13,5,8,624.0,106.4,113.9,-7.5,53.8,1.26,15.2,32.4,67.2,49.0,16.6,49.3,53.3,100.46,44.6,"1,305",2024-25
CHA,11,4,7,533.0,108.0,112.9,-4.9,57.4,1.33,16.0,33.1,72.7,52.2,16.8,51.7,54.7,98.75,45.7,"1,096",2024-25
MIA,10,4,6,485.0,111.3,112.8,-1.5,64.5,1.94,18.3,28.4,69.4,48.4,13.2,52.7,55.9,97.78,49.6,990,2024-25
MIL,12,4,8,581.0,110.3,113.1,-2.9,54.7,1.59,16.6,23.6,73.5,48.9,13.8,54.4,57.4,99.64,48.6,"1,208",2024-25
NOP,12,3,9,576.0,108.1,118.7,-10.6,62.0,1.57,17.4,33.6,67.2,49.7,15.8,50.4,54.0,97.46,45.2,"1,170",2024-25
PHI,11,2,9,538.0,106.9,114.5,-7.6,56.4,1.49,15.7,27.6,69.9,47.0,14.3,49.9,54.2,97.70,42.9,"1,093",2024-25
TOR,12,2,10,586.0,110.6,118.4,-7.8,68.3,1.73,19.3,36.6,68.9,52.2,16.4,51.6,55.0,100.22,45.9,"1,223",2024-25
UTA,10,2,8,480.0,104.5,117.6,-13.0,66.7,1.30,17.3,30.9,69.2,50.0,18.5,49.8,54.5,101.15,44.2,"1,011",2024-25
WAS,10,2,8,480.0,106.9,118.9,-12.0,63.4,1.61,17.9,27.1,65.8,46.2,15.3,51.2,55.0,103.45,44.1,"1,031",2024-25
